\\ machines
4
\\ max power
40
\\ Jobs in machine 1
11
J1	13	10	46	2	1.4275058285871436
J2	16	5	77	1	0.6405412018202856
J3	15	5	102	10	1.5557553078830324
J4	16	1	104	3	0.7195292902763358
J5	15	14	104	9	2.3852038635731967
J6	15	10	72	9	1.2322787338365127
J7	14	8	70	2	1.288054137016953
J8	16	8	53	5	0.8493067116660704
J9	15	1	8	7	0.4552539745556101
J10	15	10	7	1	1.1317937054951566
J11	13	5	70	9	1.6759023387790684
\\ Jobs in machine 2
11
J12	14	14	18	10	0.5043863253296113
J13	16	13	104	2	1.4086153487059525
J14	15	10	76	4	1.3243317193314263
J15	13	10	110	7	1.2239491740439532
J16	14	3	56	1	1.1808521628069455
J17	14	12	35	9	0.7699971010141334
J18	16	7	66	9	0.8929404826075562
J19	14	12	84	8	0.9035044646279904
J20	13	12	79	5	0.6254594329950616
J21	15	6	10	9	1.4927259949872491
J22	17	8	25	6	1.6097985951613927
\\ Jobs in machine 3
9
J23	17	7	21	5	0.6146833079794418
J24	14	8	78	8	1.1311476547075956
J25	14	3	106	4	1.2580615253837868
J26	14	11	98	8	1.2545716684096146
J27	16	7	11	3	1.394987178706966
J28	14	2	48	3	1.3858771285025906
J29	15	10	104	5	1.3945514206659377
J30	14	10	63	8	1.3207096257092774
J31	14	13	86	9	1.438894824315045
\\ Jobs in machine 4
10
J32	14	1	67	2	1.4764442365445385
J33	14	4	28	8	0.7529814924053297
J34	15	13	90	8	1.2547219933575433
J35	16	7	67	1	0.6478202189423392
J36	14	11	25	5	0.848890888747277
J37	14	7	59	1	1.4351436548981462
J38	14	10	103	9	0.7747766584104003
J39	14	6	40	2	1.415358829489664
J40	15	6	65	4	1.5678980265123592
J41	14	12	91	4	1.4917577241256348
\\ Dependencies 
84
1	2
1	3
1	6
1	7
1	8
1	11
2	8
2	10
3	4
3	5
3	8
3	9
3	10
3	11
4	6
4	8
4	10
5	7
5	10
6	7
6	8
6	11
7	8
12	13
12	15
12	20
12	22
13	21
13	22
14	17
14	21
15	17
15	18
15	20
15	22
16	17
16	19
16	20
16	22
17	18
17	20
17	21
18	21
18	22
19	22
20	21
20	22
21	22
23	24
23	27
23	28
23	31
24	25
25	29
25	31
26	27
26	31
27	28
27	30
28	29
29	31
32	34
32	36
32	37
32	40
32	41
33	34
33	37
33	38
34	35
34	36
34	41
35	37
35	38
35	39
35	41
36	38
36	41
37	38
37	39
37	41
38	39
38	40
40	41
