\\ machines
3
\\ max power
30
\\ Jobs in machine 1
11
J1	15	11	51	17	0.9420300427348487
J2	14	8	87	18	1.6433924833989038
J3	14	11	62	3	1.0818840095215991
J4	14	4	39	4	1.227503105888357
J5	15	2	22	14	1.1292671044935811
J6	13	2	20	16	1.0926478596382514
J7	15	14	5	14	0.9431298792296571
J8	15	10	6	10	1.277891010752509
J9	16	13	72	21	1.1870165019049816
J10	15	14	43	13	1.1615509017970358
J11	13	8	79	17	1.2672888847781918
\\ Jobs in machine 2
10
J12	15	12	24	10	0.7325755483949596
J13	14	8	64	5	1.9614484898029114
J14	15	1	87	16	1.0215556820945628
J15	16	7	82	18	1.1689181469305177
J16	16	13	97	6	0.3242718632749787
J17	14	9	75	23	0.7314188423942498
J18	13	2	77	11	0.9420166043530901
J19	15	13	39	7	1.3559440087526184
J20	15	1	69	9	1.7611335057537718
J21	15	14	55	13	0.749984358688421
\\ Jobs in machine 3
12
J22	14	12	50	8	0.7281625506933047
J23	15	10	23	7	1.5560089747220207
J24	14	4	60	16	0.7821166057045337
J25	14	14	25	11	1.6190583961045844
J26	15	3	63	9	1.5658232512842198
J27	13	11	95	22	2.1724683696030365
J28	15	10	38	12	1.9421835822407725
J29	13	13	33	5	1.2009529719633927
J30	15	13	19	13	1.0888804606867504
J31	13	11	39	5	1.2172749584673805
J32	14	7	99	7	0.8907061796631544
J33	15	7	10	18	0.8748650701959801
\\ Dependencies 
82
1	8
1	9
2	5
2	6
2	8
2	10
2	11
3	5
3	6
3	11
4	5
4	6
4	10
5	6
5	7
5	9
5	11
6	8
6	9
6	10
6	11
7	8
7	10
7	11
8	9
9	10
9	11
10	11
12	16
12	19
12	21
13	14
13	17
13	20
14	15
14	16
14	21
15	16
15	17
15	19
15	21
16	17
16	19
16	20
17	18
17	20
18	20
18	21
22	23
22	24
22	25
22	27
22	28
22	29
22	30
22	31
22	32
22	33
23	26
23	27
23	29
23	30
23	31
23	32
23	33
24	26
24	27
24	29
24	30
25	26
25	28
25	32
26	29
26	30
26	31
27	28
28	30
28	31
29	30
29	33
31	33
32	33
